Subject	IFG_RH-to-CAUD_RH	IFG_RH-to-PUT_RH	IFG_RH-to-STN_RH	CAUD_RH-to-GPI_RH	PUT_RH-to-GPI_RH	STN_RH-to-GPI_RH	GPI_RH-to-PRESMA_RH
16048	-0.477345	-0.035002	-0.048017	0.096762	0.012889	0.016538	-0.185944
16050	0.516415	0.229196	1.064135	0.235359	0.112775	0.426282	0.633393
16051	0.084763	-1.164152	-0.946481	0.025345	0.57509	-0.892561	-3.122668
16052	-0.09361	-0.442855	-0.03544	0.489	0.34643	0.222445	0.338136
16053	-0.481382	0.216684	-1.187932	0.394263	-0.162276	0.723017	0.964956
16054	-0.200245	-0.194296	-0.371056	0.585607	-1.011558	0.492289	3.354646
16055	-0.474836	-0.372233	-0.193593	0.505582	0.185622	0.195834	1.474739
16058	-0.520167	0.154967	0.34271	0.238248	-0.056826	-0.208467	1.076968
16059	0.430744	-0.194441	-0.746029	-0.882272	0.560622	-0.600734	3.032726
16063	-0.626505	-0.825976	-0.628493	0.160451	0.426076	0.233761	1.404011
16064	0.289997	0.059854	0.62642	0.123757	0.031566	0.230967	-0.09013
16065	0.64391	0.721806	1.077788	-0.132766	0.217493	0.023149	-3.716922
16066	0.217775	0.384239	0.248227	0.058009	0.088502	0.062157	0.015215
27004	0.027171	-0.002686	0.021029	0.003759	0.00266	0.003533	0.002605
27007	-0.004765	0.086328	-0.013055	0.002627	-0.001395	0.002972	0.002611
27008	1.036311	1.002199	-0.246477	1.25924	-1.085099	-0.353966	1.09669
27010	0.7161	1.131437	0.402396	0.225	0.192705	0.195477	1.911135
27011	-0.030113	-0.00173	-0.005966	0.003796	0.002542	0.002731	0.002613
27012	0.518552	0.59731	0.632279	0.14835	0.270055	0.283842	0.051053
27013	0.230267	0.183601	0.172178	0.01198	0.010705	0.009932	0.003637
27014	0.468036	0.817862	0.437247	-0.110335	-0.152841	-0.13971	0.759933
27015	-0.117728	0.611832	0.339594	-0.052711	0.282772	0.154116	-0.099603
27018	1.167857	0.217301	0.153964	0.28499	0.11232	0.079718	1.453393
27019	0.358457	0.22892	0.228411	0.269986	0.176272	0.172705	0.000978
27023	-0.723793	0.012671	-0.474886	0.695769	0.013046	-0.495315	1.9567
27025	0.288267	-0.557539	0.580165	-0.609631	-0.995075	-0.848298	2.167481
27026	-0.852665	-0.134549	-0.68087	-0.226794	-0.031624	-0.186599	-0.326421
27027	0.802502	1.314568	0.786108	0.025581	0.973372	-1.050634	2.373196
27028	-0.180458	0.371815	0.084369	-0.010144	0.041692	0.011532	0.004988
27029	-0.213149	-0.29586	-0.05702	0.012212	0.015015	0.005158	0.002015
27030	0.737314	0.490776	0.922774	0.322911	0.218381	0.371042	1.208495
27033	-0.323439	0.289188	0.080273	0.135364	-0.131185	-0.035885	0.019475
27034	-0.205184	0.55061	0.087154	-0.861762	-0.64874	-0.190466	1.971085
27035	0.384799	0.262445	-0.039373	0.08567	0.063056	-0.005755	0.005304
27036	0.605665	1.117374	1.07156	-1.801839	1.333011	0.434361	1.879259
27037	-1.011855	-0.991209	-0.883586	0.126877	0.18058	0.163843	0.376915
27039	-0.220347	1.019213	0.595491	-0.030055	0.170106	0.111764	-0.624745
27040	0.400158	0.356849	0.270624	0.061106	0.074998	0.012151	0.122256
27041	0.422612	-0.372596	0.614366	0.10183	0.811939	0.574346	-3.7552
