Subject	CAUD_RH-to-GPI_RH-by-Information	STN_RH-to-GPI_RH-by-Incongruence
16048	0.0063	0.028179
16050	-0.294444	0.137799
16051	0.105656	0.31838
16052	-0.16597	0.058302
16053	-0.00952	0.312419
16054	0.264312	-1.027606
16055	-0.189234	-0.623085
16058	0.970136	-0.163338
16059	0.241021	-1.936513
16063	0.74897	0.368049
16064	-0.257748	0.107414
16065	0.036095	-0.400011
16066	0.007446	0.001383
27004	0.000588	0.000041
27007	0.000017	-0.000034
27008	0.892628	-0.025697
27010	-0.631082	0.187464
27011	-0.000432	-0.000001
27012	-0.644307	0.170073
27013	0.010284	-0.000187
27014	0.907769	-0.018566
27015	0.003917	0.012968
27018	0.475749	0.067236
27019	0.081695	0.007614
27023	-0.36326	0.075535
27025	-0.543676	-0.154292
27026	-0.143795	0.063782
27027	0.260754	-0.984764
27028	0.174347	0.005232
27029	0.007244	0.000208
27030	0.258067	-0.119495
27033	0.133213	0.001027
27034	0.44733	-0.059921
27035	-0.004328	0.00067
27036	0.118906	-0.699835
27037	0.279956	-0.078413
27039	-0.258383	-0.134893
27040	0.930699	-0.085623
27041	0.041299	-2.036182
