Subject	Cues-to-IFG_RH	Arrows-to-PRESMA_RH
16048	-0.13104	0.208627
16050	0.268331	1.513445
16051	-0.340144	4.783598
16052	-0.977936	3.656504
16053	-0.317275	2.202649
16054	-1.224242	3.617023
16055	-0.931279	0.728235
16058	-0.507742	1.559467
16059	-0.312238	2.321543
16063	-0.188161	2.479893
16064	0.302667	1.140485
16065	0.257984	2.017278
16066	-0.053039	0.038397
27004	0.011439	0.170162
27007	0.08151	0.096973
27008	0.227147	2.005445
27010	-0.531686	1.18819
27011	-0.015637	0.045308
27012	0.176379	2.498674
27013	-0.074252	0.039109
27014	0.254257	1.914421
27015	0.159987	1.429094
27018	-0.278868	1.567044
27019	0.067935	1.755753
27023	0.189443	3.558386
27025	-0.28215	1.500973
27026	0.246201	1.67822
27027	0.396011	3.982455
27028	0.117216	1.254997
27029	-0.067643	-0.02938
27030	-0.288909	1.803753
27033	0.089648	0.730452
27034	-0.897859	2.014713
27035	0.050556	0.284031
27036	0.571615	2.657612
27037	-0.225314	0.082316
27039	-0.313482	2.85638
27040	0.444453	1.032884
27041	-0.576457	2.774378
