Subject	IFG_RH-to-STRI_RH	IFG_RH-to-VC_RH	VC_RH-to-IFG_RH	VC_RH-to-STRI_RH
16050	-0.368168	-0.595626	0.694535	0.648611
16051	-0.069985	0.762419	-0.251119	-0.101926
16052	-0.40066	-0.926187	0.329466	0.541456
16053	-0.202289	-0.187747	1.658933	1.14117
16054	-2.213814	-0.844018	-0.113872	-0.260858
16055	-0.98708	-0.731345	0.467124	1.354963
16058	-0.688162	-0.644159	0.145087	0.301875
16059	0.191411	0.059123	-0.023387	0.010407
16063	0.604383	-0.222089	0.553736	-0.27317
16064	0.00527	0.005041	0.012361	0.010051
16065	0.005303	0.004771	-0.01824	-0.032128
16066	0.004616	0.004644	0.008768	-0.018049
27004	-0.049277	-0.501813	0.237455	0.076565
27007	0.034982	0.176323	-0.057859	0.01624
27008	0.377261	-1.250584	0.079203	-0.048724
27010	0.78306	-0.205235	0.505399	0.11518
27011	0.00517	0.005267	-0.006709	0.002119
27012	0.053647	-0.476402	0.333131	0.270662
27013	0.77217	0.770596	0.108655	0.046136
27014	-0.318344	-0.648057	0.327007	0.532901
27015	0.005705	0.006041	0.03441	0.035028
27018	0.051575	-0.129573	0.516243	0.586045
27019	0.488628	-1.132137	0.267015	-0.015474
27023	0.005208	0.005207	0.005239	0.005197
27025	-0.028262	-2.89449	0.048129	0.271254
27026	-0.421528	0.054001	0.16074	0.416148
27027	-0.685878	-0.739859	0.967104	1.191763
27028	0.007742	0.003663	-0.046517	-0.033367
27029	-1.118471	-1.301663	0.081316	0.526599
27030	0.290666	-0.521258	0.465423	-0.039135
27033	-0.826282	-1.21613	0.255153	0.355212
27034	-0.000936	0.75667	-0.149238	-0.001134
27036	-0.838146	-0.695344	0.742688	1.033308
27037	0.620181	0.439131	0.253737	-0.548578
27038	-0.214383	-0.562868	1.171239	0.793695
27039	-0.180004	1.951407	0.029657	-0.049294
27040	-0.027463	-0.007629	0.701703	0.352756
27041	-0.237412	-1.025997	0.244032	0.167876
