Subject	IFG_RH-to-IFG_RH-by-Cues	IFG_RH-to-STRI_RH-by-Cues	IFG_RH-to-VC_RH-by-Cues	STRI_RH-to-IFG_RH-by-Cues	STRI_RH-to-STRI_RH-by-Cues	STRI_RH-to-VC_RH-by-Cues	VC_RH-to-IFG_RH-by-Cues	VC_RH-to-STRI_RH-by-Cues	VC_RH-to-VC_RH-by-Cues	IFG_RH-to-IFG_RH-by-Arrows	IFG_RH-to-STRI_RH-by-Arrows	IFG_RH-to-VC_RH-by-Arrows	STRI_RH-to-IFG_RH-by-Arrows	STRI_RH-to-STRI_RH-by-Arrows	STRI_RH-to-VC_RH-by-Arrows	VC_RH-to-IFG_RH-by-Arrows	VC_RH-to-STRI_RH-by-Arrows	VC_RH-to-VC_RH-by-Arrows	IFG_RH-to-IFG_RH-by-Information	IFG_RH-to-STRI_RH-by-Information	IFG_RH-to-VC_RH-by-Information	STRI_RH-to-IFG_RH-by-Information	STRI_RH-to-STRI_RH-by-Information	STRI_RH-to-VC_RH-by-Information	VC_RH-to-IFG_RH-by-Information	VC_RH-to-STRI_RH-by-Information	VC_RH-to-VC_RH-by-Information	IFG_RH-to-IFG_RH-by-Incongruence	IFG_RH-to-STRI_RH-by-Incongruence	IFG_RH-to-VC_RH-by-Incongruence	STRI_RH-to-IFG_RH-by-Incongruence	STRI_RH-to-STRI_RH-by-Incongruence	STRI_RH-to-VC_RH-by-Incongruence	VC_RH-to-IFG_RH-by-Incongruence	VC_RH-to-STRI_RH-by-Incongruence	VC_RH-to-VC_RH-by-Incongruence	
16050	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
16051	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
16052	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
16053	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
16054	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
16055	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
16058	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
16059	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
16063	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
16064	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
