Subject	Cues-to-VC_RH	Arrows-to-VC_RH	Information-to-STRI_RH	Incongruence-to-STRI_RH
16050	0.932685	1.788957	-0.064159	0.595524
16051	1.050966	-0.463062	-0.00922	0.509749
16052	0.123989	1.99996	-0.067294	0.863882
16053	0.057684	0.822664	-0.008964	0.329939
16054	0.98884	-1.061506	-0.01722	0.955236
16055	0.176557	2.073268	0.005114	-0.525152
16058	0.724912	1.467963	0.020564	0.63657
16059	1.157792	0.247032	-0.022154	0.139498
16063	1.04216	1.835108	-0.035488	0.502841
16064	0.036882	0.01557	-0.001262	0.100212
16065	-0.044305	0.003773	0.00168	0.031631
16066	0.032721	0.013501	0.001696	-0.045432
27004	0.395108	1.150745	0.032986	0.389725
27007	-0.745633	0.455145	0.019678	0.553594
27008	1.789042	1.46912	0.078438	0.352611
27010	-0.671846	0.535301	0.022228	-0.025702
27011	0.007183	-0.006872	-0.004159	-0.034266
27012	0.728801	2.231404	-0.090691	0.117095
27013	-0.643315	0.160058	0.034118	0.490037
27014	1.140522	0.423229	0.053763	0.421968
27015	-0.016649	0.026548	-0.001598	-0.004804
27018	-0.107583	0.383801	-0.061805	-0.296614
27019	1.401513	1.868527	-0.048047	-0.113202
27023	0.082267	0.02092	-0.001188	0.020675
27025	1.058809	1.152477	0.021201	-0.16852
27026	-0.537823	0.523892	0.018069	-0.748975
27027	0.533618	2.859973	0.099207	0.400697
27028	-0.031903	-0.051728	-0.010448	0.056862
27029	1.10317	1.950812	0.045868	0.380353
27030	0.655262	0.811883	-0.101778	0.375938
27033	2.003005	2.041254	-0.006395	0.163987
27034	1.40757	1.312393	0.069896	-0.028307
27036	0.472734	1.386524	-0.019219	0.06012
27037	-0.633864	-0.160546	0.026569	-0.064701
27038	0.483236	1.591391	-0.040699	0.364332
27039	1.273165	-1.290065	0.080825	0.360136
27040	0.72133	0.714049	0.034376	-0.001659
27041	0.315178	2.690819	0.034117	0.017872
