Subject	VC_RH-to-IFG_RH-by-STRI_RH
16050	1.202998
16051	-0.02386
16052	1.809867
16053	0.154816
16054	-0.685926
16055	-0.182546
16058	0.275478
16059	-0.055955
16063	0.074314
16064	0.000003
16065	0.000001
16066	0.000001
27004	0.212939
27007	0.167395
27008	0.668898
27010	0.071583
27011	0.000001
27012	-0.037172
27013	0.241373
27014	0.126413
27015	0
27018	0.031096
27019	-0.551107
27023	0
27025	-1.81097
27026	0.024724
27027	1.903284
27028	-0.000014
27029	0.037387
27030	0.005964
27033	-0.199616
27034	-0.015014
27036	2.432788
27037	-0.846791
27038	0.518392
27039	-0.094018
27040	-0.0262
27041	0.594841
