Subject	IFG_RH-to-CAUD_RH	IFG_RH-to-PUT_RH	IFG_RH-to-STN_RH	IFG_RH-to-PP_RH	CAUD_RH-to-GPI_RH	PUT_RH-to-GPI_RH	STN_RH-to-GPI_RH	GPI_RH-to-IFG_RH
16048	-0.393049	-0.035681	-0.047163	0.507146	0.087757	0.015562	0.019382	-0.179555
16050	0.470372	0.218799	1.031829	0.113497	0.22947	0.102161	0.319125	-0.026927
16052	0.199249	-0.284961	0.624402	0.40061	0.350671	0.333901	-0.356883	0.940018
16053	-0.20984	0.21992	-0.284117	-0.975879	-0.221405	-0.459977	0.316762	1.109014
16054	-0.126533	-0.171624	-0.262092	0.166206	0.132375	0.1365	0.125885	0.84333
16055	-0.232929	-0.213331	0.136823	0.509593	0.035776	0.322328	-0.266536	0.580986
16058	0.207003	0.49653	0.447799	0.317761	1.435662	-0.391156	-0.667962	0.888436
16059	0.231086	0.58938	0.08231	-0.997878	0.988383	0.12417	0.068528	-1.020769
16063	-0.203818	-0.513452	-0.469401	-1.246991	0.230114	0.57291	0.371974	0.026208
16065	0.435184	0.50891	0.522534	1.46785	-0.038716	-0.046643	-0.004729	0.328663
16066	0.220635	0.358052	0.230683	-0.068644	0.05563	0.08008	0.05523	0.002468
27004	0.199981	0.256244	0.121902	1.337983	1.939382	-0.779135	-0.267569	0.256279
27007	0.112297	0.328643	-0.190941	0.8938	-0.170424	-0.184652	0.18382	-0.4196
27008	0.170655	0.394372	-0.051179	0.251919	0.013669	0.026446	-0.000231	0.004002
27010	0.707001	0.966248	0.373226	0.764216	0.263917	0.085028	0.025474	-0.642541
27011	-0.009299	0.001093	-0.000448	0.027965	0.002513	0.002513	0.002513	0.002599
27012	0.181414	0.340472	0.355322	-0.28254	0.120681	0.181877	0.182579	0.210106
27014	0.04148	0.096798	0.040304	0.051974	0.002578	0.002578	0.002578	0.002606
27015	-0.066087	0.396328	0.26233	1.613697	-0.031682	0.240057	0.121879	-0.177502
27018	0.841277	0.711285	0.107321	-1.940188	0.194018	0.083837	-0.007585	-0.967884
27019	0.363874	0.245987	0.245606	0.140051	0.295513	0.200097	0.196611	0.140652
27025	0.034623	-0.628851	0.362521	-0.094991	0.073078	-0.133002	0.088316	0.056907
27026	-1.119257	-0.648889	-0.793577	-0.372684	-0.289642	-0.012387	-0.245934	-0.347808
27027	1.321248	1.608713	1.093966	-0.105564	0.259736	0.493309	-0.387797	-0.378423
27028	0.005235	0.05083	0.013243	0.007142	0.002792	0.003428	0.002874	0.002645
27029	-0.731812	-0.728848	-0.743327	-1.128995	0.061023	0.10454	-0.021663	0.510472
27030	0.211803	0.154543	0.243442	0.024557	0.085612	0.066417	0.094299	0.005755
27034	-0.061867	0.097681	0.019498	0.144145	0.002927	0.002053	0.002477	0.00259
27035	1.220146	1.184675	1.02144	1.216468	0.192713	0.264538	-0.032414	0.107127
27036	1.142982	0.519451	1.824099	0.684412	0.107327	-0.019268	0.208215	-0.195766
27037	-0.641899	-0.66391	-1.12091	-2.406532	0.004915	0.106388	0.503349	0.130233
27039	-0.012844	0.287662	0.162047	-0.028861	0.002061	0.02877	0.018267	-0.001054
27040	0.279638	0.362462	0.285871	1.701943	0.305982	0.264206	0.195653	-0.068346
27041	0.497279	-0.247436	0.278367	0.361902	-0.076157	0.112885	-0.098116	-0.663087
