Subject	IFG_RH-to-CAUD_RH-by-PrepForConflict	GPI_RH-to-IFG_RH-by-ProactiveConflict	STN_RH-to-GPI_RH-by-ReactiveConflict
16048	-0.101146	0.03496	0.016366
16050	-0.013558	-0.103458	0.026739
16052	-0.531737	1.64533	-1.709006
16053	-1.748793	-0.290486	-1.532305
16054	-0.309024	0.238522	0.319245
16055	0.078876	1.178448	-0.083736
16058	-1.739416	-0.094401	0.142102
16059	-1.021559	0.048281	-0.003188
16063	-0.393862	0.687555	0.177997
16065	0.820877	-3.583933	1.454933
16066	0.012864	0.001118	-0.001036
27004	2.335132	1.586998	0.063345
27007	-0.041699	-0.175504	0.130142
27008	0.004309	0.000062	-0.000041
27010	-0.962895	0.136053	0.042757
27011	0.000039	0	0
27012	0.068073	0.003489	0.008682
27014	-0.00154	0	-0.000003
27015	0.046829	0.053989	0.021505
27018	-0.043976	0.174563	0.013551
27019	0.011401	0.007401	0.002013
27025	0.167562	-0.026651	-0.104975
27026	0.117953	-0.184613	0.090662
27027	0.316904	-0.384121	1.340804
27028	-0.0069	0	0.000052
27029	-0.253753	-0.133507	0.162733
27030	-0.004573	-0.000312	-0.001702
27034	-0.006723	0.000001	-0.000041
27035	-0.198046	-3.268613	2.187755
27036	0.180095	-0.374914	2.193622
27037	0.223039	0.148836	0.139616
27039	-0.018992	-0.000218	-0.00052
27040	0.578679	1.63636	-0.320273
27041	-0.530707	-0.206446	-0.249419
