Subject	Cues-to-IFG_RH	Arrows-to-PP_RH
16048	-0.094553	0.103676
16050	0.179527	1.828018
16052	-1.145959	2.309216
16053	-0.486152	1.84846
16054	-0.923365	2.769132
16055	-0.578434	1.73518
16058	-0.419884	0.762371
16059	-0.44662	0.622059
16063	-0.230568	2.134413
16065	0.188276	0.907265
16066	-0.04919	0.069642
27004	0.362754	1.662844
27007	0.410119	0.447635
27008	0.22172	-0.077404
27010	-0.496354	0.874914
27011	-0.012001	0.046137
27012	0.177688	1.808533
27014	0.025609	0.129498
27015	0.247882	1.670835
27018	-0.366097	1.047015
27019	0.061357	1.191915
27025	-0.216173	0.600026
27026	0.280597	1.231505
27027	0.251311	2.956649
27028	0.042105	0.187349
27029	-0.419679	1.162818
27030	-0.07923	0.10227
27034	-0.126093	0.049371
27035	0.10828	0.323098
27036	0.374439	0.995395
27037	-0.389035	2.291646
27039	-0.066732	0.046615
27040	0.813901	0.383248
27041	-0.450317	0.812883
