Subject	IFG_RH-to-IFG_RH	IFG_RH-to-CAUD_RH	IFG_RH-to-PUT_RH	IFG_RH-to-STN_RH	IFG_RH-to-GPI_RH	IFG_RH-to-PP_RH	CAUD_RH-to-IFG_RH	CAUD_RH-to-CAUD_RH	CAUD_RH-to-PUT_RH	CAUD_RH-to-STN_RH	CAUD_RH-to-GPI_RH	CAUD_RH-to-PP_RH	PUT_RH-to-IFG_RH	PUT_RH-to-CAUD_RH	PUT_RH-to-PUT_RH	PUT_RH-to-STN_RH	PUT_RH-to-GPI_RH	PUT_RH-to-PP_RH	STN_RH-to-IFG_RH	STN_RH-to-CAUD_RH	STN_RH-to-PUT_RH	STN_RH-to-STN_RH	STN_RH-to-GPI_RH	STN_RH-to-PP_RH	GPI_RH-to-IFG_RH	GPI_RH-to-CAUD_RH	GPI_RH-to-PUT_RH	GPI_RH-to-STN_RH	GPI_RH-to-GPI_RH	GPI_RH-to-PP_RH	PP_RH-to-IFG_RH	PP_RH-to-CAUD_RH	PP_RH-to-PUT_RH	PP_RH-to-STN_RH	PP_RH-to-GPI_RH	PP_RH-to-PP_RH	
16048	-0.480096	-0.394376	-0.035839	-0.047373	0.000000	0.508810	0.000000	-0.494797	0.000000	0.000000	0.085592	0.000000	0.000000	0.000000	-0.498408	0.000000	0.014293	0.000000	0.000000	0.000000	0.000000	-0.498575	0.017779	0.000000	0.000000	0.000000	0.000000	0.000000	-0.499625	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.495054	
16050	-0.412761	0.459716	0.219120	0.987539	0.000000	0.079544	0.000000	-0.495606	0.000000	0.000000	0.170257	0.000000	0.000000	0.000000	-0.494275	0.000000	0.064305	0.000000	0.000000	0.000000	0.000000	-0.491847	0.384700	0.000000	0.000000	0.000000	0.000000	0.000000	-0.515498	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.565634	
16052	-0.591396	0.047106	-0.423629	0.068872	0.000000	0.188866	0.000000	-0.504195	0.000000	0.000000	-0.334126	0.000000	0.000000	0.000000	-0.106585	0.000000	0.378965	0.000000	0.000000	0.000000	0.000000	-0.512820	-0.127308	0.000000	0.000000	0.000000	0.000000	0.000000	-0.535937	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.639154	
16053	-0.627264	-0.278355	0.120758	-0.760646	0.000000	-2.419510	0.000000	-0.487585	0.000000	0.000000	0.421762	0.000000	0.000000	0.000000	-0.512386	0.000000	-0.049362	0.000000	0.000000	0.000000	0.000000	-0.447497	0.414375	0.000000	0.000000	0.000000	0.000000	0.000000	-0.526860	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.506101	
16054	-0.493267	-0.204698	-0.292952	-0.326387	0.000000	0.111366	0.000000	-0.453284	0.000000	0.000000	0.141163	0.000000	0.000000	0.000000	-0.439466	0.000000	0.070962	0.000000	0.000000	0.000000	0.000000	-0.452654	0.065708	0.000000	0.000000	0.000000	0.000000	0.000000	-0.479637	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.539807	
16055	-0.450868	-0.509221	-0.404313	-0.173583	0.000000	0.466616	0.000000	-0.479180	0.000000	0.000000	0.416511	0.000000	0.000000	0.000000	-0.127085	0.000000	0.171191	0.000000	0.000000	0.000000	0.000000	-0.455735	0.223329	0.000000	0.000000	0.000000	0.000000	0.000000	-0.519323	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.495134	
16058	-0.587233	-0.341019	0.142840	0.345748	0.000000	0.186914	0.000000	-0.501086	0.000000	0.000000	0.415068	0.000000	0.000000	0.000000	-0.510197	0.000000	-0.120274	0.000000	0.000000	0.000000	0.000000	-0.518181	-0.312260	0.000000	0.000000	0.000000	0.000000	0.000000	-0.511769	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.545453	
16059	-0.500842	0.266150	-0.027008	-0.534243	0.000000	-0.385630	0.000000	-0.489575	0.000000	0.000000	0.127233	0.000000	0.000000	0.000000	-0.497229	0.000000	-0.011645	0.000000	0.000000	0.000000	0.000000	-0.479663	-0.209159	0.000000	0.000000	0.000000	0.000000	0.000000	-0.499611	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.546568	
16063	-0.414058	-0.413185	-0.734149	-0.488020	0.000000	-1.314139	0.000000	-0.439715	0.000000	0.000000	0.285704	0.000000	0.000000	0.000000	-0.380969	0.000000	0.517366	0.000000	0.000000	0.000000	0.000000	-0.486384	0.267144	0.000000	0.000000	0.000000	0.000000	0.000000	-0.486264	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.396628	
16065	-0.479634	0.687563	0.801760	1.114123	0.000000	0.594874	0.000000	-0.505430	0.000000	0.000000	0.051179	0.000000	0.000000	0.000000	-0.411889	0.000000	-0.019778	0.000000	0.000000	0.000000	0.000000	-0.491554	0.031366	0.000000	0.000000	0.000000	0.000000	0.000000	-0.505991	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.543623	
16066	-0.498553	0.220647	0.358100	0.230703	0.000000	-0.068632	0.000000	-0.499190	0.000000	0.000000	0.055641	0.000000	0.000000	0.000000	-0.498459	0.000000	0.080108	0.000000	0.000000	0.000000	0.000000	-0.499360	0.055243	0.000000	0.000000	0.000000	0.000000	0.000000	-0.499833	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.498755	
27004	-0.434511	0.229434	0.295610	0.158051	0.000000	1.597908	0.000000	-0.386292	0.000000	0.000000	2.028924	0.000000	0.000000	0.000000	-0.420648	0.000000	-0.788840	0.000000	0.000000	0.000000	0.000000	-0.514127	-0.245746	0.000000	0.000000	0.000000	0.000000	0.000000	-0.365637	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.350396	
27007	-0.380002	0.082434	0.339613	-0.105287	0.000000	0.841716	0.000000	-0.495803	0.000000	0.000000	-0.033697	0.000000	0.000000	0.000000	-0.472771	0.000000	-0.117689	0.000000	0.000000	0.000000	0.000000	-0.500539	0.050051	0.000000	0.000000	0.000000	0.000000	0.000000	-0.496636	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.497905	
27008	-0.379493	1.263760	1.394262	-0.654485	0.000000	1.509717	0.000000	-0.506586	0.000000	0.000000	1.620331	0.000000	0.000000	0.000000	-0.233109	0.000000	-0.791405	0.000000	0.000000	0.000000	0.000000	-0.524989	-0.701236	0.000000	0.000000	0.000000	0.000000	0.000000	-0.450054	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.463546	
27010	-0.585582	0.573496	1.036517	0.350257	0.000000	0.940183	0.000000	-0.547966	0.000000	0.000000	0.110551	0.000000	0.000000	0.000000	-0.566447	0.000000	0.095917	0.000000	0.000000	0.000000	0.000000	-0.508055	-0.021071	0.000000	0.000000	0.000000	0.000000	0.000000	-0.523955	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.595651	
27011	-0.500359	-0.009297	0.001095	-0.000447	0.000000	0.027965	0.000000	-0.500001	0.000000	0.000000	0.002515	0.000000	0.000000	0.000000	-0.500002	0.000000	0.002515	0.000000	0.000000	0.000000	0.000000	-0.500002	0.002515	0.000000	0.000000	0.000000	0.000000	0.000000	-0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.499389	
27012	-0.337038	0.304118	0.593442	0.622749	0.000000	-0.204719	0.000000	-0.489177	0.000000	0.000000	0.191086	0.000000	0.000000	0.000000	-0.425818	0.000000	0.215587	0.000000	0.000000	0.000000	0.000000	-0.457944	0.229270	0.000000	0.000000	0.000000	0.000000	0.000000	-0.489703	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.418410	
27014	-0.499552	0.041479	0.096798	0.040303	0.000000	0.051974	0.000000	-0.500000	0.000000	0.000000	0.002577	0.000000	0.000000	0.000000	-0.499992	0.000000	0.002577	0.000000	0.000000	0.000000	0.000000	-0.499998	0.002577	0.000000	0.000000	0.000000	0.000000	0.000000	-0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.501368	
27015	-0.518603	-0.089717	0.450029	0.274763	0.000000	1.764989	0.000000	-0.497189	0.000000	0.000000	-0.026804	0.000000	0.000000	0.000000	-0.469327	0.000000	0.254424	0.000000	0.000000	0.000000	0.000000	-0.491610	0.136625	0.000000	0.000000	0.000000	0.000000	0.000000	-0.483462	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.591947	
27018	-0.598760	0.906357	0.213576	0.114279	0.000000	-1.297887	0.000000	-0.457846	0.000000	0.000000	0.191669	0.000000	0.000000	0.000000	-0.516491	0.000000	-0.016091	0.000000	0.000000	0.000000	0.000000	-0.498229	-0.000459	0.000000	0.000000	0.000000	0.000000	0.000000	-0.475353	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.595905	
27019	-0.493124	0.349356	0.233019	0.233058	0.000000	0.137244	0.000000	-0.497282	0.000000	0.000000	0.272882	0.000000	0.000000	0.000000	-0.498045	0.000000	0.180733	0.000000	0.000000	0.000000	0.000000	-0.498404	0.177366	0.000000	0.000000	0.000000	0.000000	0.000000	-0.498628	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.480620	
27025	-0.516939	0.034515	-0.628988	0.373276	0.000000	-0.197226	0.000000	-0.500651	0.000000	0.000000	0.086515	0.000000	0.000000	0.000000	-0.465575	0.000000	-0.136935	0.000000	0.000000	0.000000	0.000000	-0.509568	0.089278	0.000000	0.000000	0.000000	0.000000	0.000000	-0.499631	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.483106	
27026	-0.528420	-0.874440	-0.156238	-0.700218	0.000000	-0.213801	0.000000	-0.516119	0.000000	0.000000	-0.250770	0.000000	0.000000	0.000000	-0.510686	0.000000	-0.037505	0.000000	0.000000	0.000000	0.000000	-0.507021	-0.211960	0.000000	0.000000	0.000000	0.000000	0.000000	-0.504993	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.327350	
27027	-0.375772	1.138893	1.533000	1.139329	0.000000	-0.348535	0.000000	-0.486098	0.000000	0.000000	0.180796	0.000000	0.000000	0.000000	-0.516986	0.000000	0.267079	0.000000	0.000000	0.000000	0.000000	-0.471903	0.076037	0.000000	0.000000	0.000000	0.000000	0.000000	-0.580077	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.610828	
27028	-0.499552	0.005232	0.050827	0.013240	0.000000	0.007142	0.000000	-0.499996	0.000000	0.000000	0.002787	0.000000	0.000000	0.000000	-0.499952	0.000000	0.003403	0.000000	0.000000	0.000000	0.000000	-0.499995	0.002866	0.000000	0.000000	0.000000	0.000000	0.000000	-0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.497384	
27029	-0.628652	-0.727281	-0.805591	-0.394743	0.000000	-0.914502	0.000000	-0.532024	0.000000	0.000000	0.125773	0.000000	0.000000	0.000000	-0.516377	0.000000	0.074150	0.000000	0.000000	0.000000	0.000000	-0.527118	0.043150	0.000000	0.000000	0.000000	0.000000	0.000000	-0.533574	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.675522	
27030	-0.495140	0.212286	0.154872	0.244053	0.000000	0.024632	0.000000	-0.499055	0.000000	0.000000	0.086019	0.000000	0.000000	0.000000	-0.499482	0.000000	0.066735	0.000000	0.000000	0.000000	0.000000	-0.499111	0.094749	0.000000	0.000000	0.000000	0.000000	0.000000	-0.499748	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.499287	
27034	-0.495286	-0.061867	0.097682	0.019498	0.000000	0.144145	0.000000	-0.499915	0.000000	0.000000	0.002914	0.000000	0.000000	0.000000	-0.500222	0.000000	0.002077	0.000000	0.000000	0.000000	0.000000	-0.500016	0.002482	0.000000	0.000000	0.000000	0.000000	0.000000	-0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.499740	
27035	-0.237759	1.197866	1.280897	0.961690	0.000000	1.200795	0.000000	-0.459284	0.000000	0.000000	0.255666	0.000000	0.000000	0.000000	-0.536021	0.000000	0.208120	0.000000	0.000000	0.000000	0.000000	-0.489163	-0.005306	0.000000	0.000000	0.000000	0.000000	0.000000	-0.482498	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.521256	
27036	-0.528178	0.718141	0.500055	1.069453	0.000000	0.860818	0.000000	-0.527621	0.000000	0.000000	0.288446	0.000000	0.000000	0.000000	-0.540671	0.000000	0.159580	0.000000	0.000000	0.000000	0.000000	-0.550905	0.263583	0.000000	0.000000	0.000000	0.000000	0.000000	-0.584971	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.589066	
27037	-0.613334	-0.774431	-0.801057	-0.884659	0.000000	-2.192464	0.000000	-0.449709	0.000000	0.000000	0.084099	0.000000	0.000000	0.000000	-0.502609	0.000000	0.210595	0.000000	0.000000	0.000000	0.000000	-0.573501	0.333142	0.000000	0.000000	0.000000	0.000000	0.000000	-0.574046	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.497392	
27039	-0.502681	-0.012901	0.288700	0.162681	0.000000	-0.029014	0.000000	-0.500004	0.000000	0.000000	0.002035	0.000000	0.000000	0.000000	-0.500176	0.000000	0.029429	0.000000	0.000000	0.000000	0.000000	-0.499902	0.018680	0.000000	0.000000	0.000000	0.000000	0.000000	-0.499981	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.503921	
27040	-0.386340	0.285747	0.371311	0.282390	0.000000	1.809070	0.000000	-0.502556	0.000000	0.000000	0.378762	0.000000	0.000000	0.000000	-0.476674	0.000000	0.244447	0.000000	0.000000	0.000000	0.000000	-0.506542	0.204592	0.000000	0.000000	0.000000	0.000000	0.000000	-0.520126	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.563152	
27041	-0.467975	0.492036	-0.257276	0.082045	0.000000	-0.028275	0.000000	-0.505554	0.000000	0.000000	-0.030906	0.000000	0.000000	0.000000	-0.451873	0.000000	0.064959	0.000000	0.000000	0.000000	0.000000	-0.498845	-0.025236	0.000000	0.000000	0.000000	0.000000	0.000000	-0.500058	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.562259	
