Subject	IFG_RH-to-IFG_RH-by-Cues	IFG_RH-to-CAUD_RH-by-Cues	IFG_RH-to-PUT_RH-by-Cues	IFG_RH-to-STN_RH-by-Cues	IFG_RH-to-GPI_RH-by-Cues	IFG_RH-to-PP_RH-by-Cues	CAUD_RH-to-IFG_RH-by-Cues	CAUD_RH-to-CAUD_RH-by-Cues	CAUD_RH-to-PUT_RH-by-Cues	CAUD_RH-to-STN_RH-by-Cues	CAUD_RH-to-GPI_RH-by-Cues	CAUD_RH-to-PP_RH-by-Cues	PUT_RH-to-IFG_RH-by-Cues	PUT_RH-to-CAUD_RH-by-Cues	PUT_RH-to-PUT_RH-by-Cues	PUT_RH-to-STN_RH-by-Cues	PUT_RH-to-GPI_RH-by-Cues	PUT_RH-to-PP_RH-by-Cues	STN_RH-to-IFG_RH-by-Cues	STN_RH-to-CAUD_RH-by-Cues	STN_RH-to-PUT_RH-by-Cues	STN_RH-to-STN_RH-by-Cues	STN_RH-to-GPI_RH-by-Cues	STN_RH-to-PP_RH-by-Cues	GPI_RH-to-IFG_RH-by-Cues	GPI_RH-to-CAUD_RH-by-Cues	GPI_RH-to-PUT_RH-by-Cues	GPI_RH-to-STN_RH-by-Cues	GPI_RH-to-GPI_RH-by-Cues	GPI_RH-to-PP_RH-by-Cues	PP_RH-to-IFG_RH-by-Cues	PP_RH-to-CAUD_RH-by-Cues	PP_RH-to-PUT_RH-by-Cues	PP_RH-to-STN_RH-by-Cues	PP_RH-to-GPI_RH-by-Cues	PP_RH-to-PP_RH-by-Cues	IFG_RH-to-IFG_RH-by-Arrows	IFG_RH-to-CAUD_RH-by-Arrows	IFG_RH-to-PUT_RH-by-Arrows	IFG_RH-to-STN_RH-by-Arrows	IFG_RH-to-GPI_RH-by-Arrows	IFG_RH-to-PP_RH-by-Arrows	CAUD_RH-to-IFG_RH-by-Arrows	CAUD_RH-to-CAUD_RH-by-Arrows	CAUD_RH-to-PUT_RH-by-Arrows	CAUD_RH-to-STN_RH-by-Arrows	CAUD_RH-to-GPI_RH-by-Arrows	CAUD_RH-to-PP_RH-by-Arrows	PUT_RH-to-IFG_RH-by-Arrows	PUT_RH-to-CAUD_RH-by-Arrows	PUT_RH-to-PUT_RH-by-Arrows	PUT_RH-to-STN_RH-by-Arrows	PUT_RH-to-GPI_RH-by-Arrows	PUT_RH-to-PP_RH-by-Arrows	STN_RH-to-IFG_RH-by-Arrows	STN_RH-to-CAUD_RH-by-Arrows	STN_RH-to-PUT_RH-by-Arrows	STN_RH-to-STN_RH-by-Arrows	STN_RH-to-GPI_RH-by-Arrows	STN_RH-to-PP_RH-by-Arrows	GPI_RH-to-IFG_RH-by-Arrows	GPI_RH-to-CAUD_RH-by-Arrows	GPI_RH-to-PUT_RH-by-Arrows	GPI_RH-to-STN_RH-by-Arrows	GPI_RH-to-GPI_RH-by-Arrows	GPI_RH-to-PP_RH-by-Arrows	PP_RH-to-IFG_RH-by-Arrows	PP_RH-to-CAUD_RH-by-Arrows	PP_RH-to-PUT_RH-by-Arrows	PP_RH-to-STN_RH-by-Arrows	PP_RH-to-GPI_RH-by-Arrows	PP_RH-to-PP_RH-by-Arrows	IFG_RH-to-IFG_RH-by-Inc_Cues	IFG_RH-to-CAUD_RH-by-Inc_Cues	IFG_RH-to-PUT_RH-by-Inc_Cues	IFG_RH-to-STN_RH-by-Inc_Cues	IFG_RH-to-GPI_RH-by-Inc_Cues	IFG_RH-to-PP_RH-by-Inc_Cues	CAUD_RH-to-IFG_RH-by-Inc_Cues	CAUD_RH-to-CAUD_RH-by-Inc_Cues	CAUD_RH-to-PUT_RH-by-Inc_Cues	CAUD_RH-to-STN_RH-by-Inc_Cues	CAUD_RH-to-GPI_RH-by-Inc_Cues	CAUD_RH-to-PP_RH-by-Inc_Cues	PUT_RH-to-IFG_RH-by-Inc_Cues	PUT_RH-to-CAUD_RH-by-Inc_Cues	PUT_RH-to-PUT_RH-by-Inc_Cues	PUT_RH-to-STN_RH-by-Inc_Cues	PUT_RH-to-GPI_RH-by-Inc_Cues	PUT_RH-to-PP_RH-by-Inc_Cues	STN_RH-to-IFG_RH-by-Inc_Cues	STN_RH-to-CAUD_RH-by-Inc_Cues	STN_RH-to-PUT_RH-by-Inc_Cues	STN_RH-to-STN_RH-by-Inc_Cues	STN_RH-to-GPI_RH-by-Inc_Cues	STN_RH-to-PP_RH-by-Inc_Cues	GPI_RH-to-IFG_RH-by-Inc_Cues	GPI_RH-to-CAUD_RH-by-Inc_Cues	GPI_RH-to-PUT_RH-by-Inc_Cues	GPI_RH-to-STN_RH-by-Inc_Cues	GPI_RH-to-GPI_RH-by-Inc_Cues	GPI_RH-to-PP_RH-by-Inc_Cues	PP_RH-to-IFG_RH-by-Inc_Cues	PP_RH-to-CAUD_RH-by-Inc_Cues	PP_RH-to-PUT_RH-by-Inc_Cues	PP_RH-to-STN_RH-by-Inc_Cues	PP_RH-to-GPI_RH-by-Inc_Cues	PP_RH-to-PP_RH-by-Inc_Cues	IFG_RH-to-IFG_RH-by-Pro_Inc_Arrows	IFG_RH-to-CAUD_RH-by-Pro_Inc_Arrows	IFG_RH-to-PUT_RH-by-Pro_Inc_Arrows	IFG_RH-to-STN_RH-by-Pro_Inc_Arrows	IFG_RH-to-GPI_RH-by-Pro_Inc_Arrows	IFG_RH-to-PP_RH-by-Pro_Inc_Arrows	CAUD_RH-to-IFG_RH-by-Pro_Inc_Arrows	CAUD_RH-to-CAUD_RH-by-Pro_Inc_Arrows	CAUD_RH-to-PUT_RH-by-Pro_Inc_Arrows	CAUD_RH-to-STN_RH-by-Pro_Inc_Arrows	CAUD_RH-to-GPI_RH-by-Pro_Inc_Arrows	CAUD_RH-to-PP_RH-by-Pro_Inc_Arrows	PUT_RH-to-IFG_RH-by-Pro_Inc_Arrows	PUT_RH-to-CAUD_RH-by-Pro_Inc_Arrows	PUT_RH-to-PUT_RH-by-Pro_Inc_Arrows	PUT_RH-to-STN_RH-by-Pro_Inc_Arrows	PUT_RH-to-GPI_RH-by-Pro_Inc_Arrows	PUT_RH-to-PP_RH-by-Pro_Inc_Arrows	STN_RH-to-IFG_RH-by-Pro_Inc_Arrows	STN_RH-to-CAUD_RH-by-Pro_Inc_Arrows	STN_RH-to-PUT_RH-by-Pro_Inc_Arrows	STN_RH-to-STN_RH-by-Pro_Inc_Arrows	STN_RH-to-GPI_RH-by-Pro_Inc_Arrows	STN_RH-to-PP_RH-by-Pro_Inc_Arrows	GPI_RH-to-IFG_RH-by-Pro_Inc_Arrows	GPI_RH-to-CAUD_RH-by-Pro_Inc_Arrows	GPI_RH-to-PUT_RH-by-Pro_Inc_Arrows	GPI_RH-to-STN_RH-by-Pro_Inc_Arrows	GPI_RH-to-GPI_RH-by-Pro_Inc_Arrows	GPI_RH-to-PP_RH-by-Pro_Inc_Arrows	PP_RH-to-IFG_RH-by-Pro_Inc_Arrows	PP_RH-to-CAUD_RH-by-Pro_Inc_Arrows	PP_RH-to-PUT_RH-by-Pro_Inc_Arrows	PP_RH-to-STN_RH-by-Pro_Inc_Arrows	PP_RH-to-GPI_RH-by-Pro_Inc_Arrows	PP_RH-to-PP_RH-by-Pro_Inc_Arrows	IFG_RH-to-IFG_RH-by-Rea_Inc_Arrow	IFG_RH-to-CAUD_RH-by-Rea_Inc_Arrow	IFG_RH-to-PUT_RH-by-Rea_Inc_Arrow	IFG_RH-to-STN_RH-by-Rea_Inc_Arrow	IFG_RH-to-GPI_RH-by-Rea_Inc_Arrow	IFG_RH-to-PP_RH-by-Rea_Inc_Arrow	CAUD_RH-to-IFG_RH-by-Rea_Inc_Arrow	CAUD_RH-to-CAUD_RH-by-Rea_Inc_Arrow	CAUD_RH-to-PUT_RH-by-Rea_Inc_Arrow	CAUD_RH-to-STN_RH-by-Rea_Inc_Arrow	CAUD_RH-to-GPI_RH-by-Rea_Inc_Arrow	CAUD_RH-to-PP_RH-by-Rea_Inc_Arrow	PUT_RH-to-IFG_RH-by-Rea_Inc_Arrow	PUT_RH-to-CAUD_RH-by-Rea_Inc_Arrow	PUT_RH-to-PUT_RH-by-Rea_Inc_Arrow	PUT_RH-to-STN_RH-by-Rea_Inc_Arrow	PUT_RH-to-GPI_RH-by-Rea_Inc_Arrow	PUT_RH-to-PP_RH-by-Rea_Inc_Arrow	STN_RH-to-IFG_RH-by-Rea_Inc_Arrow	STN_RH-to-CAUD_RH-by-Rea_Inc_Arrow	STN_RH-to-PUT_RH-by-Rea_Inc_Arrow	STN_RH-to-STN_RH-by-Rea_Inc_Arrow	STN_RH-to-GPI_RH-by-Rea_Inc_Arrow	STN_RH-to-PP_RH-by-Rea_Inc_Arrow	GPI_RH-to-IFG_RH-by-Rea_Inc_Arrow	GPI_RH-to-CAUD_RH-by-Rea_Inc_Arrow	GPI_RH-to-PUT_RH-by-Rea_Inc_Arrow	GPI_RH-to-STN_RH-by-Rea_Inc_Arrow	GPI_RH-to-GPI_RH-by-Rea_Inc_Arrow	GPI_RH-to-PP_RH-by-Rea_Inc_Arrow	PP_RH-to-IFG_RH-by-Rea_Inc_Arrow	PP_RH-to-CAUD_RH-by-Rea_Inc_Arrow	PP_RH-to-PUT_RH-by-Rea_Inc_Arrow	PP_RH-to-STN_RH-by-Rea_Inc_Arrow	PP_RH-to-GPI_RH-by-Rea_Inc_Arrow	PP_RH-to-PP_RH-by-Rea_Inc_Arrow	
16048	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.103180	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.036534	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.016744	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
16050	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.018681	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.071571	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004877	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
16052	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.471772	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.597131	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.020731	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
16053	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.662014	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.477110	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.368139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
16054	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.320250	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.168184	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.268987	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
16055	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.023524	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.789091	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.006013	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
16058	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.383970	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.183864	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.020757	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
16059	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.151514	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.054259	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.060734	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
16063	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.357819	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.495285	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.180495	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
16065	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.108793	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.152782	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.274138	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
