Subject	GPI_RH-to-IFG_RH-by-Pro_Inc_Arrows	STN_RH-to-GPI_RH-by-Rea_Inc_Arrow	IFG_RH-to-CAUD_RH-by-Inc_Cues
16048	0.036534	0.016744	-0.10318
16050	-0.071571	0.004877	-0.018681
16052	1.597131	-0.020731	0.471772
16053	-0.47711	0.368139	-0.662014
16054	0.168184	0.268987	-0.32025
16055	1.789091	0.006013	-0.023524
16058	0.183864	-0.020757	-0.38397
16059	0.054259	-0.060734	-0.151514
16063	0.495285	0.180495	-0.357819
16065	0.152782	0.274138	-0.108793
16066	0.001118	-0.001023	0.012861
27004	2.392854	0.01357	2.431209
27007	0.00309	-0.046093	-0.015143
27008	2.365023	-0.016068	0.807001
27010	-0.01461	-0.071715	-0.508235
27011	0	0	0.000039
27012	0.106445	0.105028	0.326767
27014	0	-0.000003	-0.00154
27015	0.071102	-0.035365	0.066794
27018	0.282459	-0.001402	0.024802
27019	0.004809	0.001925	0.009715
27025	-0.026407	-0.121161	0.185504
27026	-0.244476	0.091018	0.136845
27027	-1.066448	-0.130969	0.209119
27028	0	0.000052	-0.0069
27029	0.141311	0.090931	-0.36156
27030	-0.000315	-0.001695	-0.004579
27034	0.000001	-0.000041	-0.006723
27035	-3.250676	0.64745	-0.027699
27036	-0.179428	0.219818	0.531036
27037	0.138275	0.029699	0.203888
27039	-0.000229	-0.000529	-0.019095
27040	1.542715	-0.110149	0.673152
27041	-0.005626	-0.006965	-0.334641
